Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Hits,Home Runs,RBIs,Runs,Stolen Bases,Strikeouts,Record a Win,Quality Starts,Outs,IP,Hits Allowed,Walks,Earned Runs,ERA,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Player,Opp,AB Avg,H Avg,1B Avg,2B Avg,3B Avg,HR Avg,R Avg,RBI Avg,SB Avg,BB Avg,K Avg,IP Avg,W Avg,QS Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Player Salary,Player Image,Tournament
Kyle Harrison,CPT,MIL,Showdown Captain Mode,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 6/27 7:10PM (CHC @ MIL),18300,43386463,7.45,16.94,0.41,54.9,,,,,,6.1754,0.395,,15.6625,5.2,3.9888,1.509,1.6806,,https://dkn.gs/sports/images/mlb/players/50/497509.png,n/a,CHC @ MIL,Cubs @ Brewers,American Family Field,retractable,n/a,6/27/2026,Kyle Harrison,CHC,0,3.99,,,,,1.68,,,1.51,6.18,5.22,0.4,0,22.34,31.56,31.56,31.56,Yes,-1.5,7.9,,https://www.freeiconspng.com/img/1934,
Christian Scott,CPT,NYM,Showdown Captain Mode,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 6/27 4:10PM (PHI @ NYM),16800,43389817,5.43,14.42,0.32,50.4,,,,,,4.3857,0.266,,14.0824,4.7,4.0039,1.3959,2.061,,https://dkn.gs/sports/images/mlb/players/50/582233.png,n/a,PHI @ NYM,Phillies @ Mets,Citi Field,outdoor,n/a,6/27/2026,Christian Scott,PHI,0,4,,,,,2.06,,,1.4,4.39,4.69,0.27,0,16.29,22.68,22.68,22.68,Yes,-1.5,8.5,,https://www.freeiconspng.com/img/1934,
Juan Soto,CPT,NYM,Showdown Captain Mode,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 6/27 4:10PM (PHI @ NYM),14100,43389821,7.16,14.19,0.51,42.3,0.6376,0.2413,0.3825,0.5427,0.0972,,,,,,,0.541,,,https://dkn.gs/sports/images/mlb/players/50/32822.png,n/a,PHI @ NYM,Phillies @ Mets,Citi Field,outdoor,n/a,6/27/2026,Juan Soto,PHI,0,0.87,12/30/1899,0.19,0.01,0.24,0.54,0.38,0.1,0.54,,,,,8.17,10.72,8.17,8.17,Yes,-1.5,8.5,,https://www.freeiconspng.com/img/1934,
Dylan Cease,SP,TOR,Early,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),"Early 6/27 3:07PM, 4 Games",9700,43385019,9.6,13.5,0.99,29.1,,,,,,7.7865,0.4327,,19.8345,6.6,4.0509,2.069,1.6887,,https://dkn.gs/sports/images/mlb/players/50/31633.png,n/a,TEX @ TOR,Rangers @ Blue Jays,Rogers Centre,retractable,n/a,6/27/2026,Dylan Cease,TEX,0,4.05,,,,,1.69,,,2.07,7.79,6.61,0.43,0.4,28.79,42.31,42.31,42.31,Yes,-1.5,7.8,,https://www.freeiconspng.com/img/1934,
Jackson Chourio,CPT,MIL,Showdown Captain Mode,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 6/27 7:10PM (CHC @ MIL),13200,43386467,6.92,13.46,0.52,39.6,1.0242,0.1668,0.3624,0.4952,0.121,,,,,,,0.3232,,,https://dkn.gs/sports/images/mlb/players/50/626080.png,n/a,CHC @ MIL,Cubs @ Brewers,American Family Field,retractable,n/a,6/27/2026,Jackson Chourio,CHC,0,0.98,12/30/1899,0.21,0.05,0.17,0.5,0.36,0.12,0.32,,,,,7.77,9.95,7.77,7.77,Yes,-1.5,7.9,,https://www.freeiconspng.com/img/1934,
Kyle Harrison,RP,MIL,Showdown Captain Mode,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 6/27 7:10PM (CHC @ MIL),12200,43386373,7.45,13.28,0.61,36.6,,,,,,6.1754,0.395,,15.6625,5.2,3.9888,1.509,1.6806,,https://dkn.gs/sports/images/mlb/players/50/497509.png,n/a,CHC @ MIL,Cubs @ Brewers,American Family Field,retractable,n/a,6/27/2026,Kyle Harrison,CHC,0,3.99,,,,,1.68,,,1.51,6.18,5.22,0.4,0,22.34,31.56,31.56,31.56,Yes,-1.5,7.9,,https://www.freeiconspng.com/img/1934,
Chase Burns,SP,CIN,Early,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),"Early 6/27 3:07PM, 4 Games",10200,43385018,8.28,12.75,0.81,30.6,,,,,,7.299,,,18.1125,6,4.5234,1.5564,1.6722,,https://dkn.gs/sports/images/mlb/players/50/804441.png,n/a,CIN @ PIT,Reds @ Pirates,PNC Park,outdoor,n/a,6/27/2026,Chase Burns,@PIT,0,4.52,,,,,1.67,,,1.56,7.3,6.04,0,0.46,24.85,36.85,36.85,36.85,Yes,-1.5,7.9,,https://www.freeiconspng.com/img/1934,
Yoshinobu Yamamoto,SP,LAD,Classic,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),"Classic 6/27 7:05PM, 8 Games",10800,43381945,7.63,12.58,0.71,32.4,,,,,,5.9562,0.4915,,16.6019,5.5,5.0679,1.5312,1.7172,,https://dkn.gs/sports/images/mlb/players/50/495129.png,n/a,LAD @ SD,Dodgers @ Padres,Petco Park,outdoor,n/a,6/27/2026,Yoshinobu Yamamoto,@SD,0,5.07,,,,,1.72,,,1.53,5.96,5.53,0.49,0,22.88,32.25,32.25,32.25,Yes,-1.5,7.8,,https://www.freeiconspng.com/img/1934,
Yoshinobu Yamamoto,SP,LAD,Night,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),"Night 6/27 8:40PM, 3 Games",10800,43384778,7.63,12.58,0.71,32.4,,,,,,5.9562,0.4915,,16.6019,5.5,5.0679,1.5312,1.7172,,https://dkn.gs/sports/images/mlb/players/50/495129.png,n/a,LAD @ SD,Dodgers @ Padres,Petco Park,outdoor,n/a,6/27/2026,Yoshinobu Yamamoto,@SD,0,5.07,,,,,1.72,,,1.53,5.96,5.53,0.49,0,22.88,32.25,32.25,32.25,Yes,-1.5,7.8,,https://www.freeiconspng.com/img/1934,
Ben Rice,CPT,NYY,Showdown Captain Mode,Sat Jun 27 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 6/27 1:10PM (NYY @ BOS),14700,43389638,4.68,12.56,0.32,44.1,0.9419,0.1729,0.3494,0.4533,0.0767,,,,,,,0.3282,,,https://dkn.gs/sports/images/mlb/players/50/700964.png,n/a,NYY @ BOS,Yankees @ Red Sox,Fenway Park,outdoor,ABC,6/27/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
